Book Name,Author,Rating,Number of Reviews,Price,Description,Listening Time,Ranks and Genre,duration_mins,genres_list,primary_genre,text_features
The Girl on the Train,Paula Hawkins,4.0,70122.0,888,"Rachel catches the same commuter train every morning. She knows it will wait at the same signal each time, overlooking a row of back gardens. She's even started to feel like she knows the people who live in one of the houses. Jess and Jason, she calls them. Their life - as she sees it - is perfect. If only Rachel could be that happy.",10 hours and 57 minutes,",#98 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Psychological Thrillers,#2 in Crime Thrillers,#87 in Crime, Thriller & Mystery (Books)",657,"['Psychological Thrillers', 'Crime Thrillers', 'Crime']",Psychological Thrillers,"Rachel catches the same commuter train every morning. She knows it will wait at the same signal each time, overlooking a row of back gardens. She's even started to feel like she knows the people who live in one of the houses. Jess and Jason, she calls them. Their life - as she sees it - is perfect. If only Rachel could be that happy. Psychological Thrillers Paula Hawkins"
The Fault in Our Stars,John Green,4.5,43869.0,670,"Audie Award Nominee, Best Teens Category, 2013",7 hours and 14 minutes,",#299 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Contemporary Romance for Teens,#1 in Fiction on Illness & Health Problems for Teens,#1 in Fiction on Death & Dying for Teens",434,"['Contemporary Romance for Teens', 'Fiction on Illness & Health Problems for Teens', 'Fiction on Death & Dying for Teens']",Contemporary Romance for Teens,"Audie Award Nominee, Best Teens Category, 2013 Contemporary Romance for Teens John Green"
The Nightingale,Kristin Hannah,4.8,40958.0,323,"Two sisters. One must be brave. One should be afraid. Bravery, courage, fear, and love in a time of war. Despite their differences sisters Viann and Isabelle have always been close.",17 hours and 19 minutes,",#430 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in World War II Historical Fiction,#2 in War & Military Fiction,#7 in Women's Fiction",1039,"['World War II Historical Fiction', 'War & Military Fiction', ""Women's Fiction""]",World War II Historical Fiction,"Two sisters. One must be brave. One should be afraid. Bravery, courage, fear, and love in a time of war. Despite their differences sisters Viann and Isabelle have always been close. World War II Historical Fiction Kristin Hannah"
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy,E. L. James,3.8,38310.0,1093,"Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping",-1,-1,0,[],Other,"Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping Other E. L. James"
The Martian,Andy Weir,4.7,33293.0,1171,"A brand-new production of Andy Weir’s modern sci-fi classic, narrated by the incomparable Wil Wheaton, and featuring bonus content from the writings of Mark Watney.",10 hours and 59 minutes,",#1,032 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Hard Science Fiction,#6 in Adventure Science Fiction,#21 in Suspense",659,"['Hard Science Fiction', 'Adventure Science Fiction', 'Suspense']",Hard Science Fiction,"A brand-new production of Andy Weir’s modern sci-fi classic, narrated by the incomparable Wil Wheaton, and featuring bonus content from the writings of Mark Watney. Hard Science Fiction Andy Weir"
The Alchemist: A Fable About Following Your Dream,Paulo Coelho,4.6,28237.0,10378,"By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.",4 hours,",#10 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Metaphysical & Visionary Fiction,#1 in Literary Fiction,#6 in Crime, Thriller & Mystery (Books)",240,"['Metaphysical & Visionary Fiction', 'Literary Fiction', 'Crime']",Metaphysical & Visionary Fiction,"By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms. Metaphysical & Visionary Fiction Paulo Coelho"
Me Before You,Jojo Moyes,4.6,27040.0,827,"Romantic, poignant and endearingly honest throughout, Me Before You is the bittersweet tale of an unusual but powerful love. Often funny, sometimes bitterly sad, it won't leave you the same person you were when you began.",16 hours and 37 minutes,",#1,293 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#10 in Romantic Comedy,#22 in Women's Fiction,#31 in Contemporary Romance (Audible Audiobooks & Originals)",997,"['Romantic Comedy', ""Women's Fiction""]",Romantic Comedy,"Romantic, poignant and endearingly honest throughout, Me Before You is the bittersweet tale of an unusual but powerful love. Often funny, sometimes bitterly sad, it won't leave you the same person you were when you began. Romantic Comedy Jojo Moyes"
Inferno,Dan Brown,4.4,26244.0,1093,"Harvard symbologist Robert Langdon wakes up in Florence disoriented and confused. He doesn't remember how he got there. But in an international mystery that takes him across Europe to save the world from a terrifying fate, he must decipher codes hidden in Renaissance artworks with only a few lines from Dante's Inferno to guide him.",17 hours and 12 minutes,",#2,108 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#73 in Suspense,#494 in Literature & Fiction (Audible Audiobooks & Originals),#3,126 in Crime, Thriller & Mystery (Books)",1032,['Suspense'],Suspense,"Harvard symbologist Robert Langdon wakes up in Florence disoriented and confused. He doesn't remember how he got there. But in an international mystery that takes him across Europe to save the world from a terrifying fate, he must decipher codes hidden in Renaissance artworks with only a few lines from Dante's Inferno to guide him. Suspense Dan Brown"
"Outlander: Outlander, Book 1",Diana Gabaldon,4.6,22631.0,1172,"In 1945, former combat nurse Claire Randall returns from World War II and joins her husband for a second honeymoon. Their blissful reunion is shattered when she touches a boulder in an ancient stone ruin and is instantly transported to 1743 Scotland, a place torn by war and raiding border clans. Will Claire find her way back to her own time, or is her destiny forever linked with Clan MacKenzie and the gallant James Fraser?",32 hours and 38 minutes,",#4,114 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#10 in Historical Fantasy,#13 in Fantasy Romance,#19 in Contemporary Fantasy",1958,"['Historical Fantasy', 'Fantasy Romance', 'Contemporary Fantasy']",Historical Fantasy,"In 1945, former combat nurse Claire Randall returns from World War II and joins her husband for a second honeymoon. Their blissful reunion is shattered when she touches a boulder in an ancient stone ruin and is instantly transported to 1743 Scotland, a place torn by war and raiding border clans. Will Claire find her way back to her own time, or is her destiny forever linked with Clan MacKenzie and Historical Fantasy Diana Gabaldon"
Think and Grow Rich,Napoleon Hill,4.5,22448.0,166,"By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.",10 hours and 15 minutes,",#38 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Economics (Audible Audiobooks & Originals),#2 in Business Motivation & Self-Improvement,#10 in Economics Books",615,"['Business Motivation & Self-Improvement', 'Economics Books']",Business Motivation & Self-Improvement,"By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms. Business Motivation & Self-Improvement Napoleon Hill"
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.5,22123.0,837,Rich Dad Poor Dad will….,6 hours and 9 minutes,",#9 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Personal Finance,#2 in Investing & Trading,#39 in Personal Development & Self-Help",369,"['Personal Finance', 'Investing & Trading', 'Personal Development & Self-Help']",Personal Finance,Rich Dad Poor Dad will…. Personal Finance Robert T. Kiyosaki
How to Win Friends and Influence People,Dale Carnegie,4.5,21000.0,668,"How to Win Friends and Influence People is a self-help book which is the pioneer of this genre. Written by Dale Carnegie and published in 1936, it has sold over 30 million copies. It has been edited and re-printed several times.",8 hours and 5 minutes,",#18 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Communication & Social Skills,#76 in Personal Development & Self-Help",485,"['Communication & Social Skills', 'Personal Development & Self-Help']",Communication & Social Skills,"How to Win Friends and Influence People is a self-help book which is the pioneer of this genre. Written by Dale Carnegie and published in 1936, it has sold over 30 million copies. It has been edited and re-printed several times. Communication & Social Skills Dale Carnegie"
